2.77,462,513,13253,1487,195,12,50,-1,0
2.61,402,428,11144,1790,133,6,50,-1,0
2.86,411,462,11407,1604,155,7,50,-1,0
2.51,372,398,10438,1097,124,2,50,-1,0
3.05,406,454,10753,1360,156,7,50,-1,0
3.18,441,474,13669,2203,138,7,50,-1,0
2.1,307,328,8060,661,87,4,50,-1,0
2.64,329,356,8595,555,62,2,50,-1,0
2.72,400,426,11148,709,152,4,50,-1,0
2.03,467,514,12646,1383,148,7,50,-1,0
0.89,385,96,398,471,7,0,50,-1,0
2.44,467,71,562,116,6,0,50,-1,0
0.07,234,57,500,12,2,0,50,-1,0
2.7,425,404,8323,1477,116,4,50,-1,0
3.37,474,463,13912,986,120,2,50,-1,0
1.18,324,371,6885,752,76,2,50,-1,0
3.02,421,344,6537,1699,94,2,50,-1,0
2.09,400,341,8053,654,81,2,50,-1,0
2.65,379,288,6750,820,73,2,50,-1,0
2.28,372,378,7673,773,104,5,50,-1,0
1.84,392,289,4830,625,56,2,50,-1,0
3.22,397,345,10067,973,92,1,50,-1,0
2.37,378,343,6231,624,78,5,50,-1,0
2.69,417,406,9192,1593,118,3,50,-1,0
4.14,360,411,14077,939,132,1,50,-1,0
2.36,385,433,9752,846,145,5,50,-1,0
2.05,388,423,11730,1036,116,3,50,-1,0
2.81,406,461,10508,1561,147,2,50,-1,0
2.84,436,488,9191,1669,177,4,50,-1,0
2.21,452,447,13902,829,96,2,50,-1,0
3.12,431,447,11134,1456,159,9,22,-1,0
3.63,437,479,14170,1281,156,8,50,-1,0
2.28,355,397,9547,637,128,5,50,-1,0
2.89,358,373,10611,717,81,3,24,-1,0
2.27,355,271,5722,1039,49,2,50,-1,0
2.69,342,388,11721,613,75,1,50,-1,0
2.94,469,423,11038,1811,135,2,50,-1,0
2.34,401,285,6750,865,72,0,50,-1,0
2.23,430,403,8768,1334,133,5,50,-1,0
2.65,366,249,4051,1094,55,1,50,-1,0
2.16,407,427,11634,1115,117,2,50,-1,0
2.53,361,351,8673,1046,96,7,50,-1,0
2.59,412,347,8839,1083,82,1,50,-1,0
1.82,342,340,8516,671,50,3,50,-1,0
1.79,432,399,10834,1011,112,3,50,-1,0
2.49,425,425,9507,1339,103,3,50,-1,0
2.43,611,375,13523,2052,68,1,50,-1,0
2.31,422,350,10201,987,109,2,50,-1,0
1.72,392,295,7979,707,66,1,50,-1,0
1.76,410,215,2234,514,32,1,50,-1,0
1.47,364,226,4796,846,44,2,50,-1,0
