0.0,372,42,0,292,1,0,50,4,0.0
0.0,413,50,0,605,2,0,50,4,0.0
0.0,370,35,0,299,1,0,50,4,0.0
0.0,370,36,0,285,1,0,50,4,0.0
0.0,443,63,0,514,4,1,50,4,0.0
0.0,389,45,0,296,1,0,50,4,0.0
0.0,416,52,0,627,3,0,50,4,0.0
0.0,374,44,0,317,1,0,50,4,0.0
0.0,370,42,0,289,1,0,50,4,0.0
3.48,503,493,12125,2224,185,8,50,5,3.48
3.81,471,441,11867,1778,133,7,40,5,3.81
1.66,412,425,9612,814,130,6,50,4,1.66
2.69,472,453,13412,1649,147,5,50,5,2.69
1.77,373,372,10574,1388,98,3,50,4,1.77
2.34,407,418,10736,834,105,4,50,4,2.34
4.56,571,581,14355,2794,222,13,50,5,4.56
2.49,278,288,5670,301,39,3,50,4,2.49
4.1,451,478,11154,1198,105,13,50,5,4.1
1.98,400,300,6048,600,54,2,50,4,1.98
2.93,424,292,4877,1003,38,1,50,4,2.93
2.65,511,433,10144,1688,110,3,50,4,2.65
1.89,435,344,8799,1022,73,2,50,4,1.89
1.57,421,353,7891,1188,72,2,50,4,1.57
1.59,341,256,5775,539,39,1,50,4,1.59
1.61,408,283,5675,712,51,2,50,4,1.61
3.39,519,465,13663,2252,160,5,50,5,3.39
2.8,468,413,10007,2067,109,3,50,4,2.8
2.0,441,416,9214,1056,145,7,50,4,2.0
3.75,470,420,12395,1366,113,4,50,5,3.75
2.89,478,419,13063,591,94,5,50,5,2.89
1.69,384,421,10808,990,112,3,50,4,1.69
2.07,358,376,10669,436,62,2,50,4,2.07
2.72,403,442,11661,957,133,4,50,4,2.72
2.12,434,474,13777,1209,126,4,50,4,2.12
2.58,498,502,15274,1403,196,4,50,5,2.58
2.86,575,258,12718,470,25,0,50,4,2.86
2.02,474,327,7594,1360,81,2,50,4,2.02
2.66,506,486,14424,1950,160,10,50,5,2.66
1.87,476,198,6974,798,22,0,50,4,1.87
1.78,424,287,8871,842,48,1,50,4,1.78
1.5,502,231,6804,349,21,0,50,4,1.5
1.86,450,398,10281,1316,98,4,50,4,1.86
4.35,821,427,19224,1065,64,2,50,5,4.35
2.32,423,459,12240,1070,127,5,50,4,2.32
2.06,377,402,10801,789,109,6,50,4,2.06
2.97,491,497,14323,2514,181,5,50,5,2.97
3.41,534,554,15345,2004,211,7,50,5,3.41
3.13,497,507,12433,2072,202,6,50,5,3.13
2.41,543,563,15312,2053,192,3,50,5,2.41
2.57,470,461,12379,1671,128,3,50,4,2.57
2.92,457,475,14701,1194,137,4,50,5,2.92
3.26,416,436,9048,974,117,4,50,5,3.26
2.3,434,358,9267,1284,102,1,50,4,2.3
2.02,475,384,10016,1037,82,2,50,4,2.02
2.22,379,342,8219,875,80,2,50,4,2.22
1.61,385,368,8507,862,96,3,50,4,1.61
2.78,493,413,11555,1504,119,3,50,4,2.78
1.99,443,282,5903,1259,47,0,50,4,1.99
2.19,432,356,6459,933,67,2,50,4,2.19
3.08,475,522,15980,1357,149,6,50,5,3.08
3.25,430,450,15469,1438,110,5,50,5,3.25
2.91,477,506,14568,1693,139,6,50,5,2.91
3.53,498,532,18337,1923,160,9,50,5,3.53
2.27,389,422,11339,555,99,3,50,4,2.27
2.45,428,440,12553,1182,129,7,50,4,2.45
2.95,466,487,13320,1383,132,6,50,5,2.95
2.56,363,408,12261,376,80,4,50,4,2.56
3.14,541,559,17175,2045,163,4,50,5,3.14
2.15,442,477,12791,1289,130,7,50,4,2.15
3.27,443,449,10483,1457,130,5,50,5,3.27
2.24,398,418,9723,976,117,4,50,4,2.24
1.72,329,337,9065,824,98,3,50,4,1.72
2.09,447,479,11151,896,160,3,50,4,2.09
1.4,340,356,7451,566,67,5,50,4,1.4
2.03,373,386,10937,650,93,3,50,4,2.03
1.46,359,344,7746,902,114,5,50,4,1.46
2.56,485,504,12165,2167,177,9,50,5,2.56
1.96,470,479,12079,1484,156,11,50,4,1.96
4.11,436,493,11156,1150,144,4,50,5,4.11
3.22,418,440,14430,794,124,7,50,5,3.22
2.19,416,440,9715,1291,131,6,50,4,2.19
2.49,402,424,12128,1588,114,7,50,4,2.49
2.91,376,379,9072,795,45,1,50,4,2.91
2.36,437,460,13212,1393,144,5,50,4,2.36
2.05,364,381,9120,771,112,3,50,4,2.05
3.15,456,466,13824,1538,151,5,50,5,3.15
3.33,500,556,20802,1684,171,6,50,5,3.33
3.54,562,601,19614,2355,227,12,50,5,3.54
2.64,559,576,15062,2364,220,7,50,5,2.64
2.09,135,148,3795,276,40,1,50,4,2.09
2.93,474,496,12985,1522,171,7,50,5,2.93
2.2,437,428,9750,1654,137,5,50,4,2.2
3.59,418,479,14096,1422,142,4,50,5,3.59
2.77,424,441,13945,1683,128,6,50,5,2.77
1.96,422,448,12622,908,132,4,50,4,1.96
2.64,381,387,10755,994,84,5,50,4,2.64
2.32,495,492,14066,1755,171,6,50,5,2.32
3.48,492,502,14609,2070,181,9,50,5,3.48
2.99,439,473,13702,845,142,6,50,5,2.99
2.22,392,377,8901,1580,107,2,50,4,2.22
3.7,427,475,14603,868,126,6,50,5,3.7
2.25,436,447,11611,1481,118,2,50,4,2.25
1.17,317,347,7033,497,82,1,50,4,1.17
1.6,335,348,6461,499,86,3,50,4,1.6
3.09,440,475,11701,981,158,4,50,5,3.09
2.5,456,463,12442,1434,120,6,50,4,2.5
1.42,404,401,8452,731,123,6,50,4,1.42
3.21,457,480,12729,1078,149,4,50,5,3.21
2.17,433,471,13241,1451,127,4,50,4,2.17
2.88,469,526,15148,1346,169,7,50,5,2.88
2.6,441,441,11080,1956,170,4,50,4,2.6
3.14,471,502,15024,1981,171,5,50,5,3.14
2.98,515,523,14239,2780,219,6,50,5,2.98
2.93,418,435,11502,1263,134,11,50,4,2.93
3.3,482,499,14805,1973,169,6,50,5,3.3
2.75,472,465,12636,1606,139,4,50,5,2.75
2.45,399,400,10111,1484,124,4,50,4,2.45
2.14,462,495,13026,1373,170,7,50,4,2.14
2.36,470,485,13769,1360,182,7,50,4,2.36
3.55,527,547,17229,2763,171,10,50,5,3.55
2.82,342,337,7361,523,66,2,50,4,2.82
2.56,540,543,13188,3544,197,4,50,5,2.56
2.73,418,424,10083,1683,137,6,50,4,2.73
2.72,474,476,12359,1825,159,4,50,5,2.72
2.72,559,542,11255,3381,214,5,50,5,2.72
3.49,438,450,10048,2021,137,4,50,5,3.49
3.44,487,517,13704,2456,147,8,30,5,3.44
2.64,505,558,12274,1952,187,4,43,5,2.64
1.81,451,476,10562,1702,184,5,50,4,1.81
3.65,470,527,11762,1931,159,3,50,5,3.65
3.58,508,537,18716,1163,169,8,50,5,3.58
2.56,368,374,9422,708,57,2,50,4,2.56
2.99,417,426,10578,1269,98,3,50,4,2.99
2.77,416,461,11743,1227,96,5,50,4,2.77
1.37,328,340,7347,519,90,4,50,4,1.37
3.34,520,509,13560,2652,215,8,50,5,3.34
5.04,516,521,12918,2246,223,7,50,5,5.04
2.98,355,368,10336,969,81,2,50,4,2.98
3.46,454,481,14487,1368,184,10,50,5,3.46
3.57,407,454,9554,1772,101,3,50,5,3.57
3.42,505,534,15320,1712,217,13,50,5,3.42
4.01,464,482,13757,2689,157,7,50,5,4.01
2.96,499,505,15193,1674,186,4,50,5,2.96
3.43,532,522,17429,2076,199,5,50,5,3.43
4.18,530,531,14742,2487,215,9,50,5,4.18
3.26,385,433,10339,643,95,3,50,5,3.26
2.65,365,379,10452,1213,87,3,50,4,2.65
2.63,481,498,12910,1948,158,8,50,5,2.63
3.64,461,475,13145,1467,141,8,50,5,3.64
1.81,372,374,9615,766,103,4,50,4,1.81
1.68,336,362,6049,607,88,3,50,4,1.68
2.93,496,510,16097,2679,171,6,50,5,2.93
3.48,592,609,20304,2693,200,6,50,5,3.48
2.97,474,540,13426,1499,142,5,26,5,2.97
3.06,398,450,11303,1110,121,6,50,5,3.06
3.63,488,532,14318,2523,150,5,50,5,3.63
2.8,387,414,9543,953,99,6,50,4,2.8
3.59,567,589,17676,2089,241,4,50,5,3.59
1.8,397,429,10860,1201,117,2,50,4,1.8
2.79,459,491,12514,1352,173,9,50,5,2.79
3.57,565,582,17150,2215,206,7,50,5,3.57
1.93,329,350,8956,778,83,5,50,4,1.93
2.23,407,434,11594,1314,146,6,50,4,2.23
4.79,564,592,19843,2397,217,7,50,5,4.79
1.94,311,325,7819,633,46,1,50,4,1.94
2.73,378,445,9330,614,77,6,50,4,2.73
2.7,481,507,13064,2106,176,10,50,5,2.7
3.3,440,471,14430,1556,156,4,50,5,3.3
2.63,367,393,9507,839,96,4,50,4,2.63
3.33,400,436,11337,1363,144,8,50,5,3.33
2.58,386,416,8726,1096,123,4,50,4,2.58
3.34,385,426,10379,1038,116,4,50,5,3.34
2.58,423,464,12108,1532,165,6,50,4,2.58
3.38,431,438,12594,1484,95,6,50,5,3.38
2.53,385,458,13677,917,103,7,50,4,2.53
3.3,523,558,16802,2018,169,5,50,5,3.3
2.17,426,448,11966,1405,120,2,50,4,2.17
2.78,462,492,14079,1544,143,7,50,5,2.78
2.47,440,450,10098,1903,151,5,50,4,2.47
2.88,478,482,12799,1352,131,5,50,5,2.88
2.18,374,372,10018,1013,85,2,50,4,2.18
3.44,512,510,12589,2502,185,5,50,5,3.44
3.66,586,582,17235,3001,208,9,50,5,3.66
2.52,518,519,13617,2028,178,8,50,5,2.52
3.14,494,551,15109,1466,182,1,50,5,3.14
2.17,382,402,12667,544,99,5,50,4,2.17
3.33,434,487,17830,1334,138,5,50,5,3.33
3.2,531,569,16498,2003,177,6,50,5,3.2
2.36,340,372,7605,507,78,2,50,4,2.36
1.78,353,371,8819,511,78,2,50,4,1.78
2.46,424,465,15725,1021,153,1,50,5,2.46
3.18,484,525,13701,1756,146,5,50,5,3.18
5.29,489,515,12796,1961,171,7,50,5,5.29
2.56,433,494,14314,1104,134,3,50,5,2.56
2.72,362,398,10418,1056,99,6,50,4,2.72
3.72,457,493,12989,1426,171,11,50,5,3.72
2.39,318,347,8581,354,80,4,50,4,2.39
2.51,447,462,12875,1818,130,8,50,4,2.51
3.77,442,481,13141,1031,114,5,50,5,3.77
2.53,350,384,9622,321,73,5,50,4,2.53
3.44,508,523,13677,1869,168,7,50,5,3.44
1.98,453,468,13183,1296,165,8,50,4,1.98
2.49,420,459,9568,1093,126,4,50,4,2.49
2.2,426,451,9928,1124,143,7,50,4,2.2
3.17,464,470,14025,1332,147,4,50,5,3.17
3.01,427,451,12429,1051,135,5,50,5,3.01
1.97,400,399,8715,1979,91,3,50,4,1.97
3.59,508,497,15097,1717,168,4,50,5,3.59
3.7,540,508,16192,2334,181,10,50,5,3.7
3.35,501,504,14801,2223,167,4,50,5,3.35
2.61,426,478,11798,1373,140,1,50,4,2.61
2.34,493,489,13762,2073,160,8,50,5,2.34
2.56,421,437,10923,1154,98,2,50,4,2.56
2.03,467,499,12752,1002,138,8,50,4,2.03
3.29,490,502,15711,1420,161,3,50,5,3.29
2.9,443,454,11466,1599,146,6,50,5,2.9
2.85,508,506,14493,2262,203,6,50,5,2.85
