50,74,80,20,8,76,63,42,5,106,1.0,1.0,0.8,1.0,1.0,0.4,0.0,0.25,0.0,0.33,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.33,0.67,1.33,1.33,0.67,0.67,1.33,0.67,1.33,1.33,1
69,41,44,57,74,67,71,14,25,81,0.5,0.0,0.25,0.0,0.42,0.7,0.6,1.0,0.5,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.67,0.67,1.0,1.33,1.0,1.33,0.67,0.67,0.67,1.33,0
22,29,99,35,59,4,16,25,77,62,0.0,0.5,0.0,0.0,0.0,1.0,1.0,0.43,0.5,0.67,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.67,0.67,0.67,0.67,1.33,1.0,0.67,0.67,1.0,0
107,41,70,25,22,67,74,103,28,26,0.83,0.6,0.5,0.33,0.67,0.81,0.53,0.45,1.0,0.64,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.0,1.0,1.33,0
103,62,55,70,25,99,18,74,2,29,1.0,0.76,0.5,1.0,1.0,0.0,0.29,0.54,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.67,1.0,0.67,1.33,1.33,1.33,1.33,1.33,1.0,0.67,1
74,8,86,69,53,38,62,18,12,107,0.57,0.27,0.0,0.33,0.4,0.33,0.7,1.0,0.6,0.69,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.33,1.33,2.0,2.0,1.0,0
58,44,8,30,112,48,16,29,91,19,0.67,1.0,1.0,0.67,1.0,0.5,0.5,0.0,0.5,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,0.67,1
104,107,74,6,20,18,55,50,22,2,0.6,1.0,0.8,1.0,0.69,0.83,0.75,0.25,0.0,0.49,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.67,2.0,1.33,1.67,2.0,2.0,1.33,1.67,2.0,1.33,1
98,71,72,26,106,107,94,53,88,66,0.0,0.72,0.5,0.71,0.33,0.73,1.0,0.7,1.0,0.66,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.33,1.0,1.67,2.0,1.33,2.0,1.33,1.33,0
62,29,26,43,8,22,67,86,107,55,0.75,1.0,0.75,1.0,1.0,0.83,0.54,0.0,0.4,0.29,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.67,2.0,1.33,2.0,1.33,1.33,2.0,1.33,1.33,1.33,1
62,26,46,44,28,103,32,78,5,48,0.0,0.0,0.0,0.63,0.0,0.55,1.0,1.0,0.33,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.67,2.0,2.0,2.0,1.67,1.33,2.0,1.67,1.33,2.0,0
67,106,52,63,9,40,62,29,1,74,0.44,1.0,1.0,1.0,0.75,0.67,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.67,2.0,1.33,2.0,1.67,2.0,1.67,1.33,1.33,2.0,1
76,113,16,14,53,83,71,54,74,72,0.0,0.0,0.5,0.4,0.0,1.0,1.0,1.0,0.71,0.75,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.33,2.0,1.67,1.33,2.0,1.67,2.0,1.67,1.33,1.67,0
46,104,85,101,9,33,56,86,19,7,0.78,0.71,0.6,1.0,1.0,0.6,0.0,0.5,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.33,2.0,1.33,1.33,1.67,1.33,2.0,1.33,1.67,2.0,1
