2.09,436,441,11222,767,133,3,50,0
2.56,344,280,7025,460,61,4,50,0
5.79,421,276,8142,364,31,1,50,0
1.69,365,369,8740,646,84,2,50,0
2.03,397,404,10056,932,118,1,50,0
3.37,534,519,20868,2720,178,3,50,0
2.27,353,342,8909,698,86,2,50,0
3.09,460,512,14336,1235,161,5,50,0
2.66,443,469,11831,1886,157,2,50,0
1.54,367,373,9310,968,94,3,50,0
2.2,449,493,13635,1101,129,3,50,0
2.29,391,287,5193,621,59,3,50,0
2.07,353,296,6316,579,75,3,50,0
5.39,461,426,8730,1283,116,6,50,0
2.24,413,322,6610,1139,86,5,50,0
2.75,411,413,10204,1033,111,5,50,0
3.52,403,329,8835,1103,77,4,50,0
2.08,395,386,10457,878,112,5,50,0
2.27,418,276,6030,513,54,2,50,0
2.48,403,474,11970,1071,145,3,50,0
3.12,422,471,14624,985,100,9,50,0
4.17,475,533,15840,1873,153,9,50,0
2.71,413,415,11531,1799,126,4,50,0
1.73,373,316,6440,1293,76,4,50,0
2.97,411,314,7093,946,82,3,50,0
1.82,425,264,5060,673,55,3,50,0
3.04,448,419,10877,1323,159,3,50,0
4.55,449,406,7734,1526,139,5,50,0
2.19,381,444,12103,540,105,3,50,0
1.94,343,399,8642,805,77,3,50,0
2.4,415,481,12809,920,102,3,50,0
1.94,374,383,9890,767,65,2,50,0
2.36,312,66,725,461,4,0,50,0
2.39,360,294,5808,623,65,2,50,0
2.49,433,405,10534,1240,143,4,50,0
1.92,379,216,3337,484,35,1,50,0
1.22,335,291,4897,678,75,2,50,0
2.08,387,401,8170,1172,132,6,50,0
0.77,270,154,1137,265,12,0,50,0
2.38,446,481,15015,1340,110,1,50,0
2.86,417,427,11439,697,132,4,50,0
1.78,426,420,9391,1333,151,1,50,0
1.85,416,441,10968,1046,137,4,50,0
4.78,566,589,15760,5409,226,4,50,0
4.35,498,526,12725,1820,154,4,50,0
2.29,387,405,11869,1341,105,1,50,0
1.75,353,377,7468,1163,89,0,50,0
5.78,442,489,15161,1434,112,3,50,0
2.57,354,393,8871,973,80,4,50,0
2.78,441,476,10664,1958,170,6,50,0
3.72,426,460,13372,1136,111,5,50,0
3.84,477,492,13844,1602,169,6,50,0
3.39,502,537,13067,2062,196,3,50,0
2.87,342,396,10317,569,93,1,50,0
5.61,431,455,10544,1473,141,8,50,0
2.29,399,436,9326,1262,127,6,50,0
3.43,442,504,15191,1183,139,7,50,0
1.84,413,465,11531,977,122,1,50,0
1.28,374,272,4438,441,31,0,50,0
2.19,354,353,9348,911,70,2,50,0
1.22,334,214,3275,568,23,0,50,0
2.38,452,397,10352,1106,90,2,50,0
2.7,415,460,12108,1090,144,8,50,0
2.22,447,484,12198,1173,158,3,50,0
2.47,427,317,7276,985,68,1,50,0
2.3,491,312,9367,985,47,0,50,0
2.53,481,521,13372,1667,204,5,50,0
2.85,471,497,12014,2546,172,2,50,0
2.52,363,404,8963,528,91,1,50,0
2.84,426,338,7348,1974,109,2,50,0
3.06,412,407,11063,1287,114,4,50,0
2.17,446,309,4844,1035,72,1,50,0
2.89,393,412,10898,1058,119,7,50,0
4.24,509,474,12168,2665,127,10,50,0
3.85,401,295,5316,1332,72,2,50,0
2.06,360,238,4502,831,50,1,50,0
2.16,411,277,2738,530,47,1,50,0
2.86,445,309,4939,599,52,1,50,0
2.41,342,415,9450,680,76,6,50,0
3.47,500,513,16194,1087,139,9,50,0
1.68,340,349,9115,881,78,2,50,0
2.09,384,420,13221,1018,81,4,50,0
2.65,424,403,5578,560,41,2,50,0
2.16,401,441,9592,749,138,8,50,0
